file_name,game_title,game_provider,game_url,original_url,fixed_url,local_path
Spinomenal - Dreams Of Cleopatra.webp,Dreams Of Cleopatra,Spinomenal,https://roobet.com/casino/game/spinomenal-dreams-of-cleopatra,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:DreamsOfCleopatra-uLjml4VFY.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:DreamsOfCleopatra-uLjml4VFY.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Dreams Of Cleopatra.webp
Spinomenal - Olympian Throne.webp,Olympian Throne,Spinomenal,https://roobet.com/casino/game/spinomenal-olympian-throne,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:OlympianThrone-4HXDja6Us.png","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:OlympianThrone-4HXDja6Us.png",Final_Quality_Fixed\Spinomenal\Spinomenal - Olympian Throne.webp
Spinomenal - Legend Of Lilith.webp,Legend Of Lilith,Spinomenal,https://roobet.com/casino/game/spinomenal-legend-of-lilith,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:LegendOfLilith-Pz-tG-lU-.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:LegendOfLilith-Pz-tG-lU-.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Legend Of Lilith.webp
Spinomenal - Book Of Hercules - A Legendary Quest.webp,Book Of Hercules - A Legendary Quest,Spinomenal,https://roobet.com/casino/game/spinomenal-book-of-hercules-a-legendary-quest,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfHerculesALegendaryQuest-kS1n56Riw.png","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfHerculesALegendaryQuest-kS1n56Riw.png",Final_Quality_Fixed\Spinomenal\Spinomenal - Book Of Hercules - A Legendary Quest.webp
Spinomenal - Halloween Charms.webp,Halloween Charms,Spinomenal,https://roobet.com/casino/game/spinomenal-halloween-charms,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:HalloweenCharms-aoZERFr3f.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:HalloweenCharms-aoZERFr3f.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Halloween Charms.webp
Spinomenal - Wacky Monkey - Chase'N'Win.webp,Wacky Monkey - Chase'N'Win,Spinomenal,https://roobet.com/casino/game/spinomenal-wacky-monkey-chase-n-win,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:WackyMonkeyChaseNWin-_LnRW-4xA.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:WackyMonkeyChaseNWin-_LnRW-4xA.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Wacky Monkey - Chase'N'Win.webp
Spinomenal - 1 Reel - Rooster Mayhem.webp,1 Reel - Rooster Mayhem,Spinomenal,https://roobet.com/casino/game/spinomenal-1-reel-rooster-mayhem,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:1ReelRoosterMayhem-w0bcwV03X.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:1ReelRoosterMayhem-w0bcwV03X.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - 1 Reel - Rooster Mayhem.webp
Spinomenal - Wolf Fang - Western Tales.webp,Wolf Fang - Western Tales,Spinomenal,https://roobet.com/casino/game/spinomenal-wolf-fang-western-tales,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:WolfFangWesternTales-AdQZf0mVY.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:WolfFangWesternTales-AdQZf0mVY.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Wolf Fang - Western Tales.webp
Spinomenal - Book of Demi Gods IV - The Golden Era.webp,Book of Demi Gods IV - The Golden Era,Spinomenal,https://roobet.com/casino/game/spinomenal-book-of-demi-gods-iv-the-golden-era,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookofDemiGodsIVTheGoldenEra-raNaSEVc4.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookofDemiGodsIVTheGoldenEra-raNaSEVc4.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Book of Demi Gods IV - The Golden Era.webp
Spinomenal - Wild Bandida.webp,Wild Bandida,Spinomenal,https://roobet.com/casino/game/spinomenal-wild-bandida,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:WildBandida-bzddgjdBv.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:WildBandida-bzddgjdBv.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Wild Bandida.webp
Spinomenal - Ded Moroz.webp,Ded Moroz,Spinomenal,https://roobet.com/casino/game/spinomenal-ded-moroz,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:DedMoroz-8W00Fc52I.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:DedMoroz-8W00Fc52I.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Ded Moroz.webp
Spinomenal - Book of Lucky Jack - The Lost Pearl.webp,Book of Lucky Jack - The Lost Pearl,Spinomenal,https://roobet.com/casino/game/spinomenal-book-of-lucky-jack-the-lost-pearl,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookofLuckyJackTheLostPearl-Qs0cOEYYq.png","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookofLuckyJackTheLostPearl-Qs0cOEYYq.png",Final_Quality_Fixed\Spinomenal\Spinomenal - Book of Lucky Jack - The Lost Pearl.webp
Spinomenal - Fruits On Ice Collection - 20 Lines.webp,Fruits On Ice Collection - 20 Lines,Spinomenal,https://roobet.com/casino/game/spinomenal-fruits-on-ice-collection-20-lines,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:FruitsOnIceCollection20Lines-SlqqpJtpD.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:FruitsOnIceCollection20Lines-SlqqpJtpD.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Fruits On Ice Collection - 20 Lines.webp
Spinomenal - Book Of Rebirth.webp,Book Of Rebirth,Spinomenal,https://roobet.com/casino/game/spinomenal-book-of-rebirth,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfRebirth-tz1UVqmum.png","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfRebirth-tz1UVqmum.png",Final_Quality_Fixed\Spinomenal\Spinomenal - Book Of Rebirth.webp
Spinomenal - Fortuna de los Muertos II.webp,Fortuna de los Muertos II,Spinomenal,https://roobet.com/casino/game/spinomenal-fortuna-de-los-muertos-ii,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:FortunadelosMuertos2-LPUXtPoaR.png","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:FortunadelosMuertos2-LPUXtPoaR.png",Final_Quality_Fixed\Spinomenal\Spinomenal - Fortuna de los Muertos II.webp
Spinomenal - Book Of Elves.webp,Book Of Elves,Spinomenal,https://roobet.com/casino/game/spinomenal-book-of-elves,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfElves-7Ijvad_oW.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfElves-7Ijvad_oW.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Book Of Elves.webp
Spinomenal - Goddess Of Lotus - Blooming Wonder.webp,Goddess Of Lotus - Blooming Wonder,Spinomenal,https://roobet.com/casino/game/spinomenal-goddess-of-lotus-blooming-wonder,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:GoddessOfLotusBloomingWonder-PjYA4qgrw.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:GoddessOfLotusBloomingWonder-PjYA4qgrw.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Goddess Of Lotus - Blooming Wonder.webp
Spinomenal - Book Of Panther - Wild Dawn.webp,Book Of Panther - Wild Dawn,Spinomenal,https://roobet.com/casino/game/spinomenal-book-of-panther-wild-dawn,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfPantherWildDawn-Wvt4vjE0C.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:BookOfPantherWildDawn-Wvt4vjE0C.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Book Of Panther - Wild Dawn.webp
Spinomenal - Easter Spin.webp,Easter Spin,Spinomenal,https://roobet.com/casino/game/spinomenal-easter-spin,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:EasterSpin-r9M1mc5N7.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:EasterSpin-r9M1mc5N7.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Easter Spin.webp
Spinomenal - Dracula - The Hunt.webp,Dracula - The Hunt,Spinomenal,https://roobet.com/casino/game/spinomenal-dracula-the-hunt,"https://roobet.com/cdn-cgi/image/dpr=1.0,width=195,height=260,quality=20,blur=150,fit=cover,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:DraculaTheHunt-uPHr6ztL1.jpeg","https://roobet.com/cdn-cgi/image/dpr=1.0,width=400,height=600,quality=95,blur=0,fit=contain,format=auto/https://roobet-dev-public-images-prod.s3.amazonaws.com/spnmnl:DraculaTheHunt-uPHr6ztL1.jpeg",Final_Quality_Fixed\Spinomenal\Spinomenal - Dracula - The Hunt.webp
